datadate,conm,prccd,diff
01/02/2013,AAR CORP,19.37,0.2400
01/03/2013,AAR CORP,19.82,0.2400
01/04/2013,AAR CORP,20.11,0.2400
01/07/2013,AAR CORP,19.75,-0.1500
01/08/2013,AAR CORP,19.61,-0.7500
01/09/2013,AAR CORP,19.67,-0.7600
01/10/2013,AAR CORP,19.36,-0.7600
01/11/2013,AAR CORP,18.99,-0.3600
01/14/2013,AAR CORP,18.85,-0.2200
01/15/2013,AAR CORP,19.31,0.4800
01/16/2013,AAR CORP,19.14,0.7600
01/17/2013,AAR CORP,19.47,0.5300
01/18/2013,AAR CORP,19.61,0.4700
01/22/2013,AAR CORP,19.84,0.5500
01/23/2013,AAR CORP,19.61,0.4000
01/24/2013,AAR CORP,20.02,-0.0700
01/25/2013,AAR CORP,20.01,-0.0200
01/28/2013,AAR CORP,19.77,-0.8100
01/29/2013,AAR CORP,19.59,-1.1600
01/30/2013,AAR CORP,19.21,-0.7000
01/31/2013,AAR CORP,18.85,-1.0100
02/01/2013,AAR CORP,19.07,-0.6700
02/04/2013,AAR CORP,18.58,-0.4100
02/05/2013,AAR CORP,18.54,-0.4100
02/06/2013,AAR CORP,18.44,0.2000
02/07/2013,AAR CORP,18.66,0.1800
02/08/2013,AAR CORP,18.78,0.2100
02/11/2013,AAR CORP,18.72,0.0000
02/12/2013,AAR CORP,18.65,-0.3900
02/13/2013,AAR CORP,18.66,-0.3600
02/14/2013,AAR CORP,18.39,0.0300
02/15/2013,AAR CORP,18.36,-0.3600
02/19/2013,AAR CORP,18.68,-0.5900
02/20/2013,AAR CORP,18.3,-0.2500
02/21/2013,AAR CORP,17.8,-1.2400
02/22/2013,AAR CORP,18.11,-0.7600
02/25/2013,AAR CORP,17.44,-0.1700
02/26/2013,AAR CORP,17.54,-0.5400
02/27/2013,AAR CORP,17.63,-0.1200
02/28/2013,AAR CORP,17.57,-1.0100
03/01/2013,AAR CORP,17.32,-0.7100
03/04/2013,AAR CORP,16.53,-0.2400
03/05/2013,AAR CORP,16.92,0.2300
03/06/2013,AAR CORP,17.33,1.3300
03/07/2013,AAR CORP,17.55,1.1300
03/08/2013,AAR CORP,17.86,0.5400
03/11/2013,AAR CORP,18.05,0.4200
03/12/2013,AAR CORP,17.87,0.2000
03/13/2013,AAR CORP,17.97,0.1500
03/14/2013,AAR CORP,18.06,0.2300
03/15/2013,AAR CORP,18.2,0.0100
03/18/2013,AAR CORP,18.1,1.5000
03/19/2013,AAR CORP,17.98,0.6300
03/20/2013,AAR CORP,19.56,0.3100
03/21/2013,AAR CORP,18.83,0.1100
03/22/2013,AAR CORP,18.41,-1.2600
03/25/2013,AAR CORP,18.09,-0.5200
03/26/2013,AAR CORP,18.3,-0.0200
03/27/2013,AAR CORP,18.31,-0.1700
03/28/2013,AAR CORP,18.39,-0.5600
04/01/2013,AAR CORP,17.92,-0.9600
04/02/2013,AAR CORP,17.74,-0.9200
04/03/2013,AAR CORP,17.35,-0.4300
04/04/2013,AAR CORP,17.47,0.0400
04/05/2013,AAR CORP,17.49,0.1300
04/08/2013,AAR CORP,17.78,0.7300
04/09/2013,AAR CORP,17.48,0.5200
04/10/2013,AAR CORP,18.2,0.2100
04/11/2013,AAR CORP,18.01,-0.2700
04/12/2013,AAR CORP,17.99,-1.0200
04/15/2013,AAR CORP,17.21,-1.3300
04/16/2013,AAR CORP,17.18,-1.5200
04/17/2013,AAR CORP,16.68,-0.6900
04/18/2013,AAR CORP,16.47,-0.6600
04/19/2013,AAR CORP,16.52,0.6600
04/22/2013,AAR CORP,16.52,1.1500
04/23/2013,AAR CORP,17.34,1.5400
04/24/2013,AAR CORP,17.62,1.0400
04/25/2013,AAR CORP,18.06,0.3500
04/26/2013,AAR CORP,17.56,0.2400
04/29/2013,AAR CORP,17.69,-0.4400
04/30/2013,AAR CORP,17.86,0.2500
05/01/2013,AAR CORP,17.62,0.8800
05/02/2013,AAR CORP,17.81,0.7000
05/03/2013,AAR CORP,18.57,1.1500
05/06/2013,AAR CORP,18.56,1.0100
05/07/2013,AAR CORP,18.77,0.2200
05/08/2013,AAR CORP,18.82,0.4200
05/09/2013,AAR CORP,18.79,0.0400
05/10/2013,AAR CORP,18.98,0.3300
05/13/2013,AAR CORP,18.81,0.5600
05/14/2013,AAR CORP,19.15,0.0600
05/15/2013,AAR CORP,19.35,0.7500
05/16/2013,AAR CORP,19.04,0.6700
05/17/2013,AAR CORP,19.56,0.3200
05/20/2013,AAR CORP,19.82,0.6800
05/21/2013,AAR CORP,19.67,0.1300
05/22/2013,AAR CORP,19.72,0.3100
05/23/2013,AAR CORP,19.69,0.8000
05/24/2013,AAR CORP,20.13,0.5800
05/28/2013,AAR CORP,20.47,0.7100
05/29/2013,AAR CORP,20.3,-0.0700
05/30/2013,AAR CORP,20.4,0.2100
05/31/2013,AAR CORP,20.06,-0.0700
06/03/2013,AAR CORP,20.68,-0.3300
06/04/2013,AAR CORP,20.23,0.5400
06/05/2013,AAR CORP,20.07,0.2100
06/06/2013,AAR CORP,20.6,1.0700
06/07/2013,AAR CORP,20.89,1.0300
06/10/2013,AAR CORP,21.3,0.3500
06/11/2013,AAR CORP,21.1,0.7900
06/12/2013,AAR CORP,20.95,0.0600
06/13/2013,AAR CORP,21.68,0.5000
06/14/2013,AAR CORP,21.36,1.0000
06/17/2013,AAR CORP,21.6,0.1000
06/18/2013,AAR CORP,21.95,-0.0900
06/19/2013,AAR CORP,21.78,-0.0400
06/20/2013,AAR CORP,21.27,-0.8200
06/21/2013,AAR CORP,21.56,-0.5700
06/24/2013,AAR CORP,21.13,0.1400
06/25/2013,AAR CORP,21.21,0.2800
06/26/2013,AAR CORP,21.41,0.8500
06/27/2013,AAR CORP,21.84,1.5600
06/28/2013,AAR CORP,21.98,0.9600
07/01/2013,AAR CORP,22.77,0.8200
07/02/2013,AAR CORP,22.37,1.0900
07/03/2013,AAR CORP,22.66,0.4500
07/05/2013,AAR CORP,23.07,0.8500
07/08/2013,AAR CORP,23.22,1.2200
07/09/2013,AAR CORP,23.22,1.5600
07/10/2013,AAR CORP,23.88,1.3800
07/11/2013,AAR CORP,24.63,2.2100
07/12/2013,AAR CORP,24.6,0.8700
07/15/2013,AAR CORP,25.43,0.5700
07/16/2013,AAR CORP,24.75,0.8000
07/17/2013,AAR CORP,25.2,0.3300
07/18/2013,AAR CORP,25.4,1.0600
07/19/2013,AAR CORP,25.76,0.0200
07/22/2013,AAR CORP,25.81,0.2500
07/23/2013,AAR CORP,25.22,-0.3300
07/24/2013,AAR CORP,25.65,-0.4000
07/25/2013,AAR CORP,25.43,-0.2500
07/26/2013,AAR CORP,25.41,-1.9800
07/29/2013,AAR CORP,24.97,-1.1900
07/30/2013,AAR CORP,23.67,-0.7400
07/31/2013,AAR CORP,24.24,-0.2600
08/01/2013,AAR CORP,24.67,1.0200
08/02/2013,AAR CORP,24.71,0.1900
08/05/2013,AAR CORP,24.69,-0.0900
08/06/2013,AAR CORP,24.43,0.0000
08/07/2013,AAR CORP,24.58,-0.1000
08/08/2013,AAR CORP,24.71,0.6400
08/09/2013,AAR CORP,24.59,0.5500
08/12/2013,AAR CORP,25.07,0.2200
08/13/2013,AAR CORP,25.13,-0.1600
08/14/2013,AAR CORP,24.93,-0.6000
08/15/2013,AAR CORP,24.43,-0.2700
08/16/2013,AAR CORP,24.47,0.3400
08/19/2013,AAR CORP,24.86,0.6800
08/20/2013,AAR CORP,25.27,1.2100
08/21/2013,AAR CORP,25.11,0.9800
08/22/2013,AAR CORP,25.68,0.5500
08/23/2013,AAR CORP,25.84,0.0500
08/26/2013,AAR CORP,25.82,-0.1400
08/27/2013,AAR CORP,25.16,-0.0700
08/28/2013,AAR CORP,25.54,-0.7300
08/29/2013,AAR CORP,25.77,0.3500
08/30/2013,AAR CORP,25.09,-0.0200
09/03/2013,AAR CORP,25.51,-0.1400
09/04/2013,AAR CORP,25.52,0.5300
09/05/2013,AAR CORP,25.63,0.4100
09/06/2013,AAR CORP,25.62,1.1600
09/09/2013,AAR CORP,25.92,1.0900
09/10/2013,AAR CORP,26.68,0.7700
09/11/2013,AAR CORP,26.72,1.0200
09/12/2013,AAR CORP,26.39,0.8100
09/13/2013,AAR CORP,26.94,1.0300
09/16/2013,AAR CORP,27.49,2.4400
09/17/2013,AAR CORP,27.75,2.6600
09/18/2013,AAR CORP,28.83,2.1300
09/19/2013,AAR CORP,29.6,1.8400
09/20/2013,AAR CORP,29.62,1.1000
09/23/2013,AAR CORP,29.59,-2.4400
09/24/2013,AAR CORP,29.93,-1.7300
09/25/2013,AAR CORP,27.16,-1.8200
09/26/2013,AAR CORP,27.89,-2.6000
09/27/2013,AAR CORP,27.77,0.5700
09/30/2013,AAR CORP,27.33,-0.7000
10/01/2013,AAR CORP,27.73,-1.0100
10/02/2013,AAR CORP,27.19,-0.4200
10/03/2013,AAR CORP,26.76,-1.1700
10/04/2013,AAR CORP,26.91,-1.0400
10/07/2013,AAR CORP,26.56,-0.5600
10/08/2013,AAR CORP,26.15,0.3200
10/09/2013,AAR CORP,26.2,0.9900
10/10/2013,AAR CORP,27.23,1.6400
10/11/2013,AAR CORP,27.55,0.9100
10/14/2013,AAR CORP,27.79,0.2900
10/15/2013,AAR CORP,27.11,0.3300
10/16/2013,AAR CORP,27.52,0.4000
10/17/2013,AAR CORP,27.88,1.1900
10/18/2013,AAR CORP,28.19,1.2000
10/21/2013,AAR CORP,28.3,1.3300
10/22/2013,AAR CORP,28.72,1.1900
10/23/2013,AAR CORP,29.21,0.9000
10/24/2013,AAR CORP,29.38,0.8000
10/25/2013,AAR CORP,29.2,0.7500
10/28/2013,AAR CORP,29.52,-0.2700
10/29/2013,AAR CORP,29.96,0.0800
10/30/2013,AAR CORP,29.11,-0.3800
10/31/2013,AAR CORP,29.28,-0.2100
11/01/2013,AAR CORP,29.14,0.7700
11/04/2013,AAR CORP,29.75,0.8000
11/05/2013,AAR CORP,29.88,0.0900
11/06/2013,AAR CORP,30.08,0.4400
11/07/2013,AAR CORP,29.23,0.6400
11/08/2013,AAR CORP,30.19,0.0600
11/11/2013,AAR CORP,30.52,0.8800
11/12/2013,AAR CORP,30.14,-0.2500
11/13/2013,AAR CORP,30.11,-0.9100
11/14/2013,AAR CORP,29.94,-0.7400
11/15/2013,AAR CORP,29.61,-0.8200
11/18/2013,AAR CORP,29.4,-0.2000
11/19/2013,AAR CORP,29.29,1.1300
11/20/2013,AAR CORP,29.74,1.7100
11/21/2013,AAR CORP,30.74,1.8600
11/22/2013,AAR CORP,31.11,1.4400
11/25/2013,AAR CORP,31.15,0.5600
11/26/2013,AAR CORP,31.18,0.1100
11/27/2013,AAR CORP,31.3,-0.9800
11/29/2013,AAR CORP,31.22,-0.6200
12/02/2013,AAR CORP,30.17,-1.0000
12/03/2013,AAR CORP,30.56,-1.1500
12/04/2013,AAR CORP,30.3,0.1800
12/05/2013,AAR CORP,30.07,-0.1000
12/06/2013,AAR CORP,30.35,-0.2900
12/09/2013,AAR CORP,30.46,-0.7600
12/10/2013,AAR CORP,30.01,-1.0600
12/11/2013,AAR CORP,29.31,-1.0900
12/12/2013,AAR CORP,29.29,-0.0100
12/13/2013,AAR CORP,29.37,0.7500
12/16/2013,AAR CORP,30,1.2700
12/17/2013,AAR CORP,30.06,1.0200
12/18/2013,AAR CORP,30.56,-0.7800
12/19/2013,AAR CORP,30.39,-1.0700
12/20/2013,AAR CORP,29.22,-1.7800
12/23/2013,AAR CORP,28.99,-1.4900
12/24/2013,AAR CORP,28.78,-0.5800
12/26/2013,AAR CORP,28.9,-0.5800
12/27/2013,AAR CORP,28.64,-0.7700
12/30/2013,AAR CORP,28.41,226.1000
12/31/2013,AAR CORP,28.01,226.3600
01/02/2013,AFA PROTECTIVE SYSTEMS INC,255,226.5900
01/03/2013,AFA PROTECTIVE SYSTEMS INC,255,226.9900
01/04/2013,AFA PROTECTIVE SYSTEMS INC,255,0.0000
01/07/2013,AFA PROTECTIVE SYSTEMS INC,255,0.0000
01/08/2013,AFA PROTECTIVE SYSTEMS INC,255,0.0000
01/09/2013,AFA PROTECTIVE SYSTEMS INC,255,0.0000
01/10/2013,AFA PROTECTIVE SYSTEMS INC,255,0.0000
01/11/2013,AFA PROTECTIVE SYSTEMS INC,255,0.0000
01/14/2013,AFA PROTECTIVE SYSTEMS INC,255,0.0000
01/15/2013,AFA PROTECTIVE SYSTEMS INC,255,0.0000
01/16/2013,AFA PROTECTIVE SYSTEMS INC,255,0.0000
01/17/2013,AFA PROTECTIVE SYSTEMS INC,255,0.0000
01/18/2013,AFA PROTECTIVE SYSTEMS INC,255,0.0000
01/22/2013,AFA PROTECTIVE SYSTEMS INC,255,7.0000
01/23/2013,AFA PROTECTIVE SYSTEMS INC,255,7.0000
01/24/2013,AFA PROTECTIVE SYSTEMS INC,262,7.0000
01/25/2013,AFA PROTECTIVE SYSTEMS INC,262,7.0000
01/28/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
01/29/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
01/30/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
01/31/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
02/01/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
02/04/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
02/05/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
02/06/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
02/07/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
02/08/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
02/11/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
02/12/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
02/13/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
02/14/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
02/15/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
02/19/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
02/20/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
02/21/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
02/22/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
02/25/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
02/26/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
02/27/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
02/28/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/01/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/04/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/05/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/06/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/07/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/08/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/11/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/12/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/13/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/14/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/15/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/18/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/19/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/20/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/21/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/22/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/25/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/26/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/27/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
03/28/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/01/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/02/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/03/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/04/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/05/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/08/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/09/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/10/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/11/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/12/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/15/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/16/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/17/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/18/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/19/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/22/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/23/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/24/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/25/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/26/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/29/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
04/30/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/01/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/02/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/03/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/06/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/07/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/08/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/09/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/10/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/13/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/14/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/15/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/16/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/17/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/20/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/21/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/22/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/23/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/24/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/28/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/29/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/30/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
05/31/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
06/03/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
06/04/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
06/05/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
06/06/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
06/07/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
06/10/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
06/11/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
06/12/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
06/13/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
06/14/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
06/17/2013,AFA PROTECTIVE SYSTEMS INC,262,0.0000
06/18/2013,AFA PROTECTIVE SYSTEMS INC,262,5.0000
06/19/2013,AFA PROTECTIVE SYSTEMS INC,262,5.0000
06/20/2013,AFA PROTECTIVE SYSTEMS INC,267,5.0000
06/21/2013,AFA PROTECTIVE SYSTEMS INC,267,5.0000
06/24/2013,AFA PROTECTIVE SYSTEMS INC,267,0.0000
06/25/2013,AFA PROTECTIVE SYSTEMS INC,267,0.0000
06/26/2013,AFA PROTECTIVE SYSTEMS INC,267,0.0000
06/27/2013,AFA PROTECTIVE SYSTEMS INC,267,0.0000
06/28/2013,AFA PROTECTIVE SYSTEMS INC,267,0.0000
07/01/2013,AFA PROTECTIVE SYSTEMS INC,267,0.0000
07/02/2013,AFA PROTECTIVE SYSTEMS INC,267,0.0000
07/03/2013,AFA PROTECTIVE SYSTEMS INC,267,0.0000
07/05/2013,AFA PROTECTIVE SYSTEMS INC,267,0.0000
07/08/2013,AFA PROTECTIVE SYSTEMS INC,267,0.0400
07/09/2013,AFA PROTECTIVE SYSTEMS INC,267,0.0400
07/10/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0400
07/11/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0400
07/12/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
07/15/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
07/16/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
07/17/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
07/18/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
07/19/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
07/22/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
07/23/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
07/24/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
07/25/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
07/26/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
07/29/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
07/30/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
07/31/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
08/01/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
08/02/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
08/05/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
08/06/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
08/07/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
08/08/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
08/09/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
08/12/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
08/13/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
08/14/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
08/15/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
08/16/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
08/19/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
08/20/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
08/21/2013,AFA PROTECTIVE SYSTEMS INC,267.04,0.0000
08/22/2013,AFA PROTECTIVE SYSTEMS INC,267.04,4.4600
08/23/2013,AFA PROTECTIVE SYSTEMS INC,267.04,4.4600
08/26/2013,AFA PROTECTIVE SYSTEMS INC,271.5,4.4600
08/27/2013,AFA PROTECTIVE SYSTEMS INC,271.5,4.4600
08/28/2013,AFA PROTECTIVE SYSTEMS INC,271.5,0.0000
08/29/2013,AFA PROTECTIVE SYSTEMS INC,271.5,0.0000
08/30/2013,AFA PROTECTIVE SYSTEMS INC,271.5,0.0000
09/03/2013,AFA PROTECTIVE SYSTEMS INC,271.5,0.0000
09/04/2013,AFA PROTECTIVE SYSTEMS INC,271.5,0.0000
09/05/2013,AFA PROTECTIVE SYSTEMS INC,271.5,1.5000
09/06/2013,AFA PROTECTIVE SYSTEMS INC,271.5,1.5000
09/09/2013,AFA PROTECTIVE SYSTEMS INC,273,1.5000
09/10/2013,AFA PROTECTIVE SYSTEMS INC,273,1.5000
09/11/2013,AFA PROTECTIVE SYSTEMS INC,273,0.0000
09/12/2013,AFA PROTECTIVE SYSTEMS INC,273,0.0000
09/13/2013,AFA PROTECTIVE SYSTEMS INC,273,0.0000
09/16/2013,AFA PROTECTIVE SYSTEMS INC,273,0.0000
09/17/2013,AFA PROTECTIVE SYSTEMS INC,273,0.0000
09/18/2013,AFA PROTECTIVE SYSTEMS INC,273,0.0000
09/19/2013,AFA PROTECTIVE SYSTEMS INC,273,0.0000
09/20/2013,AFA PROTECTIVE SYSTEMS INC,273,0.0000
09/23/2013,AFA PROTECTIVE SYSTEMS INC,273,0.0000
09/24/2013,AFA PROTECTIVE SYSTEMS INC,273,0.0000
09/25/2013,AFA PROTECTIVE SYSTEMS INC,273,0.0000
09/26/2013,AFA PROTECTIVE SYSTEMS INC,273,0.0000
09/27/2013,AFA PROTECTIVE SYSTEMS INC,273,0.0000
09/30/2013,AFA PROTECTIVE SYSTEMS INC,273,0.0000
10/01/2013,AFA PROTECTIVE SYSTEMS INC,273,0.0000
10/02/2013,AFA PROTECTIVE SYSTEMS INC,273,0.0000
10/03/2013,AFA PROTECTIVE SYSTEMS INC,273,0.0000
10/04/2013,AFA PROTECTIVE SYSTEMS INC,273,0.2500
10/07/2013,AFA PROTECTIVE SYSTEMS INC,273,0.2500
10/08/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.2500
10/09/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.2500
10/10/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
10/11/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
10/14/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
10/15/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
10/16/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
10/17/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
10/18/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
10/21/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
10/22/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
10/23/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
10/24/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
10/25/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
10/28/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
10/29/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
10/30/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
10/31/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
11/01/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
11/04/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
11/05/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
11/06/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
11/07/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
11/08/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
11/11/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
11/12/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
11/13/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
11/14/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
11/15/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
11/18/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
11/19/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
11/20/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
11/21/2013,AFA PROTECTIVE SYSTEMS INC,273.25,0.0000
